location-id,label,latitude,longitude,description,type,letters,mentions,
pla-135eaf,"135 East French Pl, San Antonio, TX",29.45, -98.493056,"Mrs. and Miss Conklin were active as Protestant missionaries. The San Antonio address seems to be temporary accommodation for their work with the International Institute.","correspondent-location","conklinsl_14, conklinsl_15",2
pla-247bea,"247 Belleville Ave",40.755556, -74.169722,"The adddress of the Woman's Board of Foreign Missions, Reformed Church in America. Belleville Avenue was renamed Broadway in the early twentieth century.","correspondent-location","conklinsl_01, conklinsl_02, conklinsl_03, conklinsl_04, conklinsl_05, conklinsl_06, conklinsl_07, conklinsl_09",8
pla-313sua,"313 Summer Ave",40.7625, -74.169722,"The Conklins' home address.","correspondent-location","conklinsl_10, conklinsl_11, conklinsl_12, conklinsl_13",4
pla-515nop,"515 North Pecos St, San Antonio, TX",29.431111, -98.501111,"Now the home of the YWCA San Antonio, this had been the address of the International Institute.","mentioned","conklinsl_10",1
pla-bellefr,"Aisne-Marne American Cemetery, Belleau, France",49.07945, 3.2892443,"Final resting place of S. L. Conklin","mentioned","supplementary",1
pla-glastct,"Glastonbury, CT",41.712222, -72.608333,"It is unclear if Mrs. Conklin was visiting Glastonbury, CT, for personal or professional reasons.","correspondent-location","conklinsl_08",1
pla-montgfr,"Montgobert, France",49.3078, 3.1492,"Where Conklin was fatally struck by shrapnel.","correspondent-location","conklinsl_02 conklinsl_04 conklinsl_05",3
pla-mortefr,"Mortefontaine, France",49.331389, 3.075278,"Erroneously (?) identified as the site of Conklin's burial by Pelletier. Card Register of Burials of Deceased American Soldiers, 1917 - 1922, places him in the Aisne-Marne American Cemetery in Belleau, France.","mentioned","conklinsl_04",1
pla-rutgecon,"Rutgers College, New Brunswick, NJ",40.500819, -74.447399,"","correspondent-location","conklinsl_01, conklinsl_03, conklinsl_06, conklinsl_07, conklinsl_08, conklinsl_09, conklinsl_10, conklinsl_11, conklinsl_12, conklinsl_13, conklinsl_14, conklinsl_15",12
pla-taillfr,"Taillefontaine, France",49.311944, 3.043333,"According to Dr. Peck, Conklin was initially buried in the village cemetery of Taillefontaine. He was reburied in the American Cemetery in Belleau, Aisne, on May 31, 1919.","mentioned","conklinsl_05",1
pla-villecof,"Villers-Cotterêts, France",49.26, 3.090556,"Dr. Peck refers to Villers-Cotterêt to indicate the proximate location of Montgobert, not that it probably helped.","mentioned","conklinsl_05",1
